hablar - tú, hablando
tomar - ella, tomando
leer - nosotros, leyendo
comer - yo, comiendo
cantar - él, cantando
vivir - yo, viviendo
decir - ella, diciendo
hablar - él, hablando
mentir - nosotros, mintiendo
aprender - yo, aprendiendo
comer - nosotros, comiendo
aprender - él, aprendiendo
decir - nosotros, diciendo
cantar - ella, cantando
vivir - ellos, viviendo
plantar - él, plantando
plantar - Ud., plantando
morir - yo, muriendo
quemar - ella, quemando
probar - yo, probando
beber - nosotros, bebiendo
duchar - él, duchando
chupar - él, chupando
cerrar - yo, cerrando
soplar - yo, soplando
chupar - tú, chupando
abrir - yo, abriendo
probar - ella, probando
beber - Uds., bebiendo
mudar - Uds., mudando
cerrar - nosotros, cerrando
ver - ella, viendo	
comprar - yo, comprando
imprimir - ellos, imprimiendo
querer - nosotros, queriendo
soplar - ella, soplando
odiar - tú, odiando
quemar - yo, quemando
comprar - nosotros, comprando
duchar - nosotros, duchando
querer - ella, queriendo
hornear - ella, horneando
imprimir - tú, imprimiendo
odiar - él, odiando
pintar - Uds., pintando
hornear - tú, horneando
ver - tú, viendo
mudar - yo, mudando
abrir - Ud., abriendo
morir - ella, muriendo
