hablar - tú, hablaste
comer - ella, comió
vivir - tú, viviste
pagar - Uds., pagaron
beber - Ud., bebió
buscar - Ud., buscó
sentir - tú, sentiste 
comer - yo, comí
pagar - él, pagó
aprender - yo, aprendí
buscar - ellos, buscaron
beber - nosotros, bebisteis
hablar - ellas, hablaron
vivir - tú, viviste
sentir - yo, sentí
dormir - yo, dormí
bloquear - ella, bloqueó
bloquear - yo, bloqueé
mentir - nosotros, mentimos
construir - yo, construí
fabricar - Ud., fabricó
calentar - yo, calenté
cocinar - Ud., cocinó
rodar - yo, rodé
mentir - tú, mentiste
dormir - tú, dormiste
construir - tú, construiste
calentar - ella, calentó
respirar - yo, respiré
apestar - yo, apesté
robar - ellos, robaron
caminar - yo, caminé
romper - yo, rompí
pavimentar - Ud., pavimentó
llorar - Ud., lloró
cocinar - Uds., cocinaron
caminar - Ud., caminó
robar - yo, robé
pelear - nosotros, peleamos
apestar - Ud., apestó
pavimentar - nosotros, pavimentamos
pelear - tú, peleaste
fabricar - Uds., fabricaron
saltar - yo, salté
llorar - ella, lloró
respirar - Uds., respiraron
cerrar - ella, cerró
rodar - Ud., rodó
saltar - Uds., saltaron
romper - nosotros, rompimos
